ID	IL.1RA	IL.7	GRO.alpha	IL.8	IP.10	MCP.1	MIP.1.alpha	MIP.1.beta	SDF.1.alpha	RANTES	IL.13	IL.1.beta	IL.2	IL.6	TNF.alpha	IL.18	IL.10	IL.21	IL.22	LIF	BDNF	PDGF.BB	PIGF.1	bNGF	VEGF.A	HGF	Leptin	IDO
X57	-1.197161736	-0.598126831	-0.336767485	-0.311071713	-0.190054075	-0.760746698	-0.608403784	-0.995172202	-0.334622065	-0.821883735	0.15509522	0.887434668	-1.569706307	0.388110021	0.327608712	-0.420430897	-0.905180273	-0.083911423	1.081108395	-0.349370292	-1.478079944	-0.4377979	-0.265851201	0.835887157	-0.386791771	-0.401512699	-0.61266027	0.417193557
X58	-0.840540442	-0.310433513	-0.5009472	-0.62061627	-1.782928741	-0.874432466	-0.513917653	-0.701969059	-0.710966646	-1.803045151	2.432844598	0.850656322	-0.454372814	0.903819689	1.384023513	-0.388420663	-0.410604568	-0.632391124	0.49728725	-1.172506338	-1.817848358	0.277740347	-0.633922169	2.033193972	-0.611905656	-0.504657557	-1.081909042	0.731399367
X59	-0.263649783	-0.541131115	0.592073064	0.322624269	-0.468992285	0.234286605	0.440240438	0.051344677	0.3765031	-0.499398902	0.31951399	1.642319538	-0.534054926	1.312697399	-0.534251572	-1.662674576	-0.433783973	0.630356152	-0.859672808	-0.723672833	-0.508132846	-0.042073912	0.555140266	0.495495961	0.038401942	-1.442304973	0.194095964	0.841432834
X60	0.952420184	0.77473894	1.450076353	1.528047448	1.275036046	0.691129713	0.643889219	1.040524163	1.497251319	1.071596344	-0.329544893	1.307473827	1.015266175	1.315324761	1.455650478	2.318746838	0.215364471	1.627825799	-1.657828187	1.67979824	-0.489255519	0.14837441	1.232947564	-0.75841304	2.064385389	0.352573031	0.671172777	2.254749906
X61	-0.415091339	0.106991198	0.433050065	0.046243662	-0.544396154	-0.073827611	1.078668387	0.340528924	0.273571584	-0.695519115	0.933579921	2.035989251	-0.677276636	1.710157853	0.972479406	-0.631892891	0.043744512	0.630439203	-0.157040452	-0.194851812	-0.335793758	-0.779547011	0.561277819	0.700786882	0.811435846	-0.385343211	-0.453274033	0.111906923
X62	-1.500930511	-0.268396313	0.456345393	0.279007907	-0.213231207	-0.673443951	-0.586854152	-0.539874867	0.30009005	-0.992557626	-0.607005321	1.650972459	-0.815822391	0.727850994	-0.579389558	-0.213635978	0.416418287	0.761699068	0.799219652	0.458370959	-0.453229727	-0.42255224	0.583991877	-0.091375867	0.166760654	-0.257351587	-0.636105903	-0.478735836
X63	-0.854636588	0.777752263	0.898053604	0.572329317	0.008515813	-0.081208031	0.187416989	0.546143599	0.411622181	1.622120794	0.167152922	0.953827854	-1.676388978	1.205330308	-0.111626172	1.124163579	-0.331979622	0.838425178	-0.678351364	-0.073327462	-1.323253428	0.298133709	0.965605867	0.419283152	0.421562583	0.232929492	-0.377272552	1.14323671
X65	0.265711144	0.28410937	-0.020745492	0.069770846	0.863243883	0.59213872	0.48919574	0.689640013	0.16259132	0.230450173	0.436677002	-0.396792107	1.342768119	0.435367403	0.264996812	0.728447987	0.426382992	0.060231958	-0.512186329	0.334577133	0.886249576	-0.100779361	0.038774666	-0.583947112	-0.090332276	-0.095913216	0.36809738	-0.571317629
X66	-0.558024045	0.392899294	-1.647003259	-0.589523884	0.857163282	-0.76212697	-1.176434919	-0.715512686	-0.702793366	-0.127062829	-0.650557739	-0.683116495	1.802481774	-1.77373715	-0.326245151	1.271018881	-1.197192063	-1.378662919	-0.266744064	0.675294008	0.378576975	0.810187152	-1.111921098	-0.852148507	-1.224252262	0.079699766	-1.409945789	-0.646754041
X67	-0.32181107	0.943202084	-1.131183874	-1.147342207	0.620174578	-0.904493891	-0.915220226	-0.595085828	-0.837568772	-0.077145548	-0.485958566	0.186234048	0.840863368	-0.803304412	0.239341304	0.30748164	-0.287002521	-1.767817569	-0.151718391	0.513345435	0.909821859	0.480071374	-1.136451962	-0.650485625	-0.886605014	1.537738374	-1.436766892	-0.62237269
X68	0.295249528	-1.162941233	-1.038204465	-1.409086932	-0.879225604	-0.403860512	0.248606527	0.532025906	-0.653646151	-0.586740982	1.210373966	-0.828666364	-0.612778716	0.010178201	0.651264472	-0.023485515	-0.148765148	-1.037806302	0.233561793	-0.503033715	-0.930771463	0.009507114	-1.217397919	0.889164985	-0.767631609	0.688097436	1.438088383	1.392003231
X69	-0.864261622	0.022296144	-1.144336712	-1.408521046	-0.309956135	-0.789829217	-0.565556065	-0.408875111	-1.160189095	-0.264938436	-0.017749949	-0.548139271	-0.722072133	-0.727874422	0.597567273	-0.622223222	-1.227911739	-1.104864077	0.805753109	-0.765542936	-0.125262539	0.835880093	-1.100362343	0.974637095	-1.665774843	-0.699114962	-1.088544959	1.339157501
X70	-0.376151774	1.688640696	-1.365608119	-0.970246016	-0.384145028	-0.711499105	-0.61514344	-0.593552689	-1.321397156	-1.268840318	0.8399523	-1.519480029	0.518996603	-0.062005215	0.100697036	-0.672992529	-0.472595226	-0.881856284	1.399662495	0.939179056	0.595187825	0.257551966	-0.880488074	0.295364602	-0.690853965	0.912784768	0.150320099	-0.021909956
X71	0.436948415	0.055365821	-1.81045048	-1.967077774	-0.619540215	-1.299781818	-1.121641907	-0.135854966	-1.649434652	-1.340392818	0.494789631	-0.572894838	0.202713916	-1.245180717	0.582121131	-0.107190409	-0.720459438	-1.843021739	0.619480608	0.163954953	0.200850326	1.104850009	-1.611488049	0.685324932	-0.83234115	1.189197514	0.803116564	1.413494515
X72	-0.622522796	-0.28716775	-0.792401969	-1.281232861	-0.55870058	0.303866094	0.771655266	0.738352152	-0.600979517	-0.431730616	0.099945205	-0.837732971	0.130008744	-0.268977243	0.129460897	0.199340729	0.201173742	-0.427720641	1.434909301	-0.917120799	-0.282916471	1.225975017	-1.111186731	0.095986523	-1.910950635	0.016270415	0.684302331	1.277056759
X73	-1.019322662	0.159326983	-1.452173491	-1.496895014	-1.09596973	-1.7069076	-1.964633967	-2.038450698	-1.385329074	-0.616604718	0.461338451	-0.293955456	-0.614953469	-0.337775068	0.760281965	-0.822867048	-0.543231909	-1.52120726	0.497863684	-0.71083249	0.273038017	-0.30157372	-1.629936683	0.126264622	-1.343035304	1.323342787	-1.262919335	0.26171948
X74	-1.303817834	-1.558027461	0.044343375	-0.555392307	0.350602112	-0.786164832	-1.040070221	-0.847106599	-0.458801592	-0.109938015	1.116348297	-0.663695034	-0.552488545	-1.329119673	0.175576384	-1.321696527	-0.85775578	-0.144109191	1.000097422	-0.247828723	0.395102608	0.48006268	-0.142932314	0.86153199	-1.478620008	0.106129301	-0.535382436	0.453546725
X75	0.721911341	-0.767278116	-0.106409879	-0.142402229	0.491029659	-0.017983573	0.04470442	0.048032938	0.075673604	0.034575176	-0.559520957	-0.795550717	-0.625541821	-0.794738029	-0.606474469	0.39396082	-0.041314071	-0.567557854	-0.128002708	0.345822354	-0.651488305	-0.88143647	-0.184114421	-0.639818732	0.235800081	0.798454284	2.416635399	-0.191125682
X76	0.824930396	0.352690812	0.227224181	1.102715478	1.704576356	-0.15348138	0.178384291	1.243069556	0.466171133	1.301808663	-1.861111877	-1.539371243	0.103017325	-1.737937066	-1.041956241	1.124151262	0.579445895	0.016037642	-1.310454331	1.592559081	-0.73515008	-1.83676906	0.121951519	-1.938223788	1.186850888	1.152288493	1.090730507	-1.658399044
X78	-1.899578562	-2.145586958	0.525596313	-0.139385193	-1.012227667	-0.034393787	-0.181896416	-0.236446159	0.077120082	-1.020781279	-0.475317376	-1.188731191	-1.523394097	0.520802882	0.147213261	-0.875229762	-1.554374011	0.713265243	0.634312668	-1.872858267	-1.788274545	-0.456453381	0.559806174	-0.203772085	-0.488704282	-1.251418012	-1.08884952	1.299353189
X79	0.793493529	-0.459977619	-1.030133216	-0.895581752	-0.715648521	-1.482654647	-1.226875688	-1.430022025	-1.42889498	-1.257301818	-0.244357511	0.469345021	-0.733376434	-0.412841622	-0.771292908	-1.388627727	-1.602023462	-1.024722194	-0.626022482	0.256194825	-1.086331274	1.205095548	-1.319756794	-0.242087665	-0.554482908	1.674442005	1.538348401	1.211203466
X80	1.329293047	-1.696111782	-0.416378058	-0.946195806	-0.174895074	-1.214890687	-0.928025581	-0.401946969	-1.123331837	-1.310300433	0.437877037	-1.220874958	-0.652511081	-1.615870197	-0.852087044	-0.419119194	-0.394789281	-0.969697738	-0.310608083	-0.922171348	-1.081717656	0.184025893	-0.996120706	1.218491499	-0.526709596	0.452979787	1.738404157	0.733577296
