ID	IL.1RA	IL.7	GRO.alpha	IL.8	IP.10	MCP.1	MIP.1.alpha	MIP.1.beta	SDF.1.alpha	RANTES	IL.13	IL.1.beta	IL.2	IL.6	TNF.alpha	IL.18	IL.10	IL.21	IL.22	LIF	BDNF	PDGF.BB	PIGF.1	bNGF	VEGF.A	HGF	Leptin	IDO
X57	-0.315693394	0.711004815	-0.125296119	0.762158511	0.536869169	-0.612111941	0.620308092	-0.332416227	0.073158139	0.195132475	-1.298463071	0.303604827	-1.181723667	-0.564304514	-0.479003569	0.427989553	-0.167783566	-0.193248877	-0.609472778	-0.098102411	-1.160022036	-0.882232905	0.288342822	-1.409619804	-0.144315651	-0.851608946	-0.237686341	-0.045812498
X58	-0.970922671	0.797074039	0.757775445	0.43131185	0.173663834	2.019819367	-0.409422038	-0.309671945	0.813293638	-0.681567747	-0.210486932	0.537729753	-0.167756782	0.614378675	-0.977839823	-0.11814556	-0.358784534	0.947119208	0.188626073	-0.360940729	-1.288887131	-1.250587013	1.713272557	0.099924042	0.342686219	-1.259032349	-0.146147381	-1.607209253
X59	0.268491112	-0.285846248	0.327439718	-0.157191961	0.937196407	1.030830532	0.2718727	0.722223331	-0.206197948	1.382808511	0.649987215	1.383554638	0.540401035	0.673769838	-0.682189416	-0.113444452	-0.350969122	0.201128474	0.366640889	-0.486930894	0.170451158	-0.629390406	1.299519123	0.096218876	0.513355288	-1.393984794	0.445466389	0.675316679
X60	0.692989791	0.180156427	1.827651822	1.357831366	0.611441328	0.245003976	-0.165778163	0.15500056	0.353997765	0.430568719	-0.856418585	0.816298515	0.410544921	0.975436022	-0.142679125	-0.624070742	-0.251263356	0.323857705	-0.720328736	1.739650307	-0.531834585	-0.387068331	0.43564794	-1.042474336	1.780820831	-0.215857678	0.655841303	1.16198955
X61	-1.334599352	-1.036838744	0.154752442	0.040237666	0.479272128	0.403784636	-0.086909158	-0.586154767	0.107945524	-0.4173641	0.308651431	1.622782633	1.358766233	1.686890931	-0.889636714	0.759240486	-1.000281755	-0.674530683	0.605658224	-0.891254161	-0.450719349	-1.296590508	0.089183182	0.537978142	0.654856691	-0.392425097	0.191370876	0.019309499
X62	-0.757247692	0.102052456	0.937754138	0.944208364	-0.289936089	-0.052788121	-0.580455438	-0.072699943	0.944324767	-0.703140283	0.196025587	0.078036342	-0.945714602	-1.19951472	-0.121666228	-0.941984161	-1.003232069	1.201597389	-0.27299192	0.007026491	-0.14115941	-0.322921205	0.553004223	-0.49868828	-0.107352587	-0.579177873	-0.428717191	-0.685175643
X63	0.172220211	-0.928523239	1.184946582	1.876641413	1.440802821	-0.112876279	0.613757349	0.638576042	1.779490761	0.810028812	-0.828135353	-0.243455193	1.311601177	1.194074119	0.061247359	-1.078583745	-0.20292737	0.734936374	-1.57351175	1.23362638	0.223050493	0.22520968	0.88682826	-0.987260341	0.005254241	-0.221703279	-0.386695673	0.500733229
X65	0.079839433	1.692152827	-1.249458984	-1.15540653	-0.231131383	-1.433073519	1.076861565	0.035920133	-1.169834065	-0.006133007	0.64883863	-0.793482858	0.349380223	-1.061254257	0.929764373	0.386767871	1.114802574	-0.700778427	0.795346032	0.64681322	0.676337731	0.536889582	-0.693582652	0.271956119	-0.7854689	1.104051681	0.538703333	0.119678413
X66	1.005015166	1.494642487	0.010808502	0.183220386	-1.167343396	0.521050913	-1.010141203	-0.777289212	1.229004375	0.189717722	-0.738739697	0.735938592	-0.570978758	0.196213769	0.714394153	-0.664292848	2.152732135	0.471728368	-0.412224734	0.427535342	1.765972191	0.799668162	0.989030907	-0.579462344	0.808017922	0.439565788	-0.788440063	-1.043351241
X67	1.877720253	0.048089199	-0.481898215	-0.450394286	-0.55717915	0.859671307	0.585454609	0.55899717	-0.498198715	-0.187267245	-0.102108718	-1.117296848	1.115881935	-0.34751343	0.327762751	0.658443948	0.615423712	1.745232876	0.081437477	0.976635187	1.084210992	0.564123917	-0.32749092	0.463154734	1.092803922	0.037416533	-1.26715725	-1.22636589
X68	0.631912484	-0.086754001	-0.829503495	-0.696068424	-1.317422671	-0.253327814	1.425537634	1.156875673	-1.013548653	-0.510575476	1.793336051	-0.39260814	0.276697467	0.694465725	2.022917411	1.64152166	0.845996701	-1.323038944	1.246444249	0.743157129	-0.701270294	-0.402910795	-1.365134597	1.67739144	-0.599312157	1.113700016	1.857380391	-0.895134599
X69	-0.409890949	0.720542316	0.629406034	0.635955763	-0.042790334	1.164569952	0.135139839	0.518292927	0.183852216	1.166242849	0.137182448	0.132724891	0.107872286	0.320305799	0.87888333	-0.613347638	0.742794564	-0.069072197	-0.433931692	0.034463863	1.315315111	0.894700971	-0.289248024	-0.253645881	0.62331751	0.194494672	-0.854260731	0.412316008
X70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X71	1.274575537	1.003790845	-0.246036963	-0.097246574	0.35807071	-0.45314238	0.323951718	1.394233093	0.641728621	1.864151013	-0.43818105	0.517124659	-0.216755651	-0.054921489	1.184409629	0.140139228	0.2081957	-0.074539996	-1.131991449	-1.29748255	0.841109924	1.313936514	-0.467760021	-0.192518929	-0.633767351	1.803899497	0.920289376	1.582759661
X72	-0.43975336	-0.371929172	-0.989494986	-0.724600626	-1.955062997	-0.595939629	2.238550996	2.199225669	-0.46618436	0.738600105	1.19881332	-0.421252937	0.075061238	0.010637391	1.651498631	0.024851667	0.945599281	-0.98534906	0.584597721	-0.749891491	0.405598284	1.5679944	-0.053960177	0.974333365	-1.265380067	0.593650023	1.178656532	-0.56829896
X73	0.35630799	-1.161733082	-0.548429881	-0.978490776	-0.465298523	-0.836084539	-0.573855017	-1.194388262	-0.67132153	-1.232220483	0.964609974	-1.447524598	0.490943519	-0.758791658	0.138941571	1.134607657	1.567530839	-0.450185366	1.429212473	0.115118029	1.399834037	0.105925244	-1.040347366	0.989502699	-0.415944741	0.46571194	-1.148867626	-0.469389469
X74	-0.17170985	1.324786272	1.32819298	0.519062522	0.127273373	0.983313399	-0.635114674	-0.294319062	0.518344061	-0.453182907	-0.243223147	-1.309431272	-0.145177688	-1.179463086	-1.202370876	-0.885022531	-0.924853206	1.235155505	-1.142232189	-0.038443638	0.353817354	1.173128576	0.778082235	-0.166449175	-1.68342808	0.213352804	0.010416832	0.598269075
X75	0.411674455	0.207006495	0.035395931	-0.338225124	0.332080916	0.504529809	0.700766034	0.57549336	-0.07721514	0.056609613	-0.189477894	0.290293489	1.244379019	1.162169539	0.38481155	-0.854463334	0.362116435	-0.856285154	0.732827195	0.179212675	-0.463801225	-0.475417318	-0.722284037	-0.075823623	-0.095240357	1.108595686	1.236688754	-0.304189777
X76	0.592514831	0.940455664	1.388833718	0.73589866	0.204537451	0.669081367	0.335246498	0.778991169	0.519153562	0.307575252	-0.542347109	-0.220542888	-0.444989379	0.705597987	-0.004746245	-0.586687501	-0.045897338	0.88457138	-0.571257129	0.560135171	-0.760826352	0.018930618	-0.056480773	-0.333664711	0.784918535	0.972317182	0.895154725	0.375226419
X78	-0.426331299	0.848291342	1.622849359	0.120678759	-1.7754262	0.460340396	0.979664412	1.163327442	0.975908604	0.399016529	0.444233977	-1.031676673	0.706015201	0.775363357	-0.754544449	-0.46501042	-0.226463379	-0.459198136	0.138929901	1.245360489	-1.18907596	-0.755152553	0.176068557	-0.939854401	-0.698568641	-0.224440597	-0.136396632	-0.800550069
X79	0.827392592	0.461318558	-0.701420043	-0.618154136	1.134852671	1.086759009	0.73206746	0.687162597	-0.600025855	0.384855861	0.646715681	1.087493865	1.501362439	2.086937563	0.915277085	0.040376342	-0.220652972	-0.881882195	1.489568911	1.428577232	0.30410326	0.627335967	-0.644493499	0.455019961	-0.044783044	0.84444346	1.679296547	0.811184521
X80	1.421631912	0.896212859	-0.54623967	-0.363845021	1.450372791	0.591892362	0.72830229	1.204747078	0.831547263	1.941307979	-0.753939912	0.148962272	0.50236627	0.589089168	0.919181784	0.369896825	0.203350914	-0.270444042	0.749516704	-0.148372153	-0.596453572	0.618287006	-0.191796673	0.202018014	0.523773916	-0.170658372	1.653687673	2.338322502
X81	0.189711584	0.405852792	1.396842446	0.904684268	0.779275326	1.102217503	0.524673577	0.548601334	0.961691093	0.504575107	-0.757548524	0.9247633	1.046249011	1.758855199	0.120231168	0.170163681	0.466824201	0.981162602	-0.232217453	1.415867372	-0.044598002	0.174968353	-0.019374309	-0.573589876	1.472995473	0.628915818	0.679484846	-0.12991635
X83	-1.282486238	0.668252239	0.513044107	1.094979125	-0.364698623	0.545771375	-0.918197469	-0.39939914	0.003274507	-0.37093366	-0.243738415	-0.720038299	-1.115260929	-0.889492854	-0.929860694	-0.231163493	-1.230940375	-0.37149244	-0.305299128	-0.711480934	-0.06795039	0.392370672	-0.663921434	-0.421055453	-0.815093765	0.137055874	0.175106815	0.468593312
X84	-0.640332758	0.402316831	2.080343605	1.949437082	0.534372604	1.354421353	0.689485955	0.48807093	0.89735233	0.69056658	0.201544355	-0.334708053	2.32942095	1.25425154	1.819908076	0.239483485	0.342296673	1.845512009	-0.17554021	-0.053461587	1.533244403	0.511384373	1.895518319	-0.156415398	0.891360812	0.021879526	0.313321237	-0.288828715
X85	-0.328168097	1.625786292	1.120744742	1.755939316	-0.883472656	0.689446848	-1.688291946	-1.015710604	0.162430964	-0.183792185	-0.773275758	-1.052704152	-0.07498389	-0.583972097	-1.001104509	-0.671832212	-0.83310814	0.911853691	-1.178959403	-0.252115019	2.065731078	2.279767109	0.510097671	-0.1906368	1.029749992	-0.31231192	0.133879629	-0.135677494
X86	0.351969433	0.810228345	-0.054272859	-0.098140156	0.470329046	0.551468701	0.404160392	0.336193274	0.984740498	0.716627427	-0.273650588	0.395785088	0.379096712	0.496328189	1.142497018	-0.238017175	1.311797037	-0.142925199	0.620085375	1.210731566	0.321848744	-0.185974608	0.822004474	0.444875657	1.918264607	0.061434125	-0.295979176	0.244285966
X87	-0.08434385	0.491860623	-0.331458782	-0.490168658	0.272927307	-0.019428137	-0.009947111	-0.143671121	-0.293794393	-0.099411301	0.645278017	-0.237687806	0.243799432	0.740371982	-0.797039275	0.487604872	-0.453755457	0.153136692	0.532000445	0.264443596	0.187523902	0.331588031	0.226292135	0.292933625	-1.126926823	-0.319736236	-0.624480517	0.508099111
X88	-1.036076242	-1.257200347	-1.060965402	-0.709434603	-0.339875337	-0.767111277	0.062366072	-0.012472237	-0.888574693	-0.437619351	0.866981623	-0.303746052	-0.954605846	-0.363922617	-0.10178188	1.058306107	-0.144608524	-0.912516776	1.899019746	0.905648509	-0.771062358	-0.191508152	-0.811973066	0.586550034	-0.373247851	0.021662403	-0.516989539	-0.153692606
X89	0.993095473	0.694841799	1.062807612	0.928287829	0.568141791	0.483345651	1.802864804	1.69394517	1.852051777	1.879468238	-0.776718984	1.152372762	0.076635288	0.677420431	1.051432354	-0.433793642	1.176393417	1.261379088	-0.439567363	0.207664532	0.712044947	0.020385484	2.030976394	0.053976414	1.285510865	-1.020921491	-0.427458581	-0.018200396
X90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X91	-1.528528639	-0.637170896	0.189153777	-0.220598357	-0.218220784	-0.318943709	0.268765661	0.324337009	0.976232414	0.788399535	-1.148212156	0.115587577	0.895890149	0.023039188	0.152882046	-0.186323595	-0.263391519	0.119806503	-0.195885012	0.171026769	0.86944236	0.296319876	-0.523049315	-1.233226632	-0.406822122	-1.499913134	-0.19700185	0.597175661
X92	0.454373483	1.997084957	2.453278098	0.748420475	0.874357689	0.898378658	1.804158111	1.850250861	2.096712897	2.422890797	0.325337998	1.490538298	1.791269592	1.212765097	1.77808914	0.735435172	2.149889716	1.689750151	0.235987423	0.473054163	1.705109521	1.069704987	1.026135785	0.144029391	1.443209237	-0.954688105	-0.484297736	0.50981551
X93	0.040460099	2.020553443	-0.705651745	-0.585583246	0.676852477	-0.487719511	0.683411503	0.277156704	-0.454136769	0.312137054	0.96891605	0.955749472	1.256327418	0.044776348	1.099921135	0.81710876	0.634460817	-0.250974012	0.897281858	-0.681800063	-0.505918836	1.618288939	-0.275965994	0.988517077	-0.593137133	0.691305214	1.144741379	1.103556007
X94	0.650439925	-0.285464936	0.958617482	0.098968261	-0.103007335	0.567837683	-0.389793145	-0.011680231	0.133419641	-0.214572687	-0.571186638	0.825907989	0.794299207	0.345061634	0.295343905	0.078004248	0.371016048	0.894379372	0.190985208	1.036552116	-0.457354606	0.722258662	0.563721708	0.116057076	-0.158038995	0.329415855	0.635513913	0.780711537
X95	0.00868776	-0.105413812	0.899265866	1.413696201	-0.498665533	0.72732628	0.101035421	0.073906787	0.596646267	0.171953694	-0.194630371	-0.001854453	-0.576690497	-1.210186042	0.106871362	-0.432596978	0.623542737	0.628118069	-0.57928395	0.737990306	0.890624635	0.326162724	1.017916653	-0.434052363	0.773960502	-1.142992788	-0.255339422	-0.641694062
X96	-0.645382181	1.182257027	-0.958940047	-0.901908944	-0.28667774	-1.415352562	0.665546728	0.215216157	-0.946686422	0.54388721	1.235366187	-0.274081342	0.073541623	-1.31094331	1.425527981	0.295792918	0.158556604	-1.042235813	0.231427848	0.612967859	0.125277199	0.724109571	-1.089318196	1.14088192	-0.412445168	-0.376137626	0.346491968	0.038649046
X97	-1.826292015	-0.695199445	-0.527369464	-0.604633923	-0.913840367	-0.260053314	-0.346908291	-0.414965176	0.215942143	-0.445591075	-2.100079353	0.50631797	-0.865486928	-0.010997254	-0.573985365	0.301355315	-0.307065021	-0.921272865	0.073172279	-0.860554176	-1.434610513	0.691994186	-0.379603137	-0.833232506	-0.690629033	-0.802680647	-0.359142912	0.992039795
X98	-0.401432759	-0.632242966	-0.209081301	-0.134788544	0.075011064	0.149461111	-1.150447975	-0.955231119	-0.380581803	-0.903588994	0.036941511	-0.573019894	-0.357586065	-0.427198552	-0.806580428	0.431381164	0.126359656	0.134082695	-0.29339051	-1.153673518	-0.64529672	-0.141444203	0.287585067	-1.099234682	-0.804294362	0.416786049	-0.15158477	0.603665711
X99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X100	0.293533785	-0.371703372	1.291100793	0.922108729	-0.844733561	0.205277925	1.348694938	1.137416823	0.69372648	1.008765532	-0.2845842	0.49702241	0.963697193	0.561410352	0.814654178	-1.968005602	1.230340166	-0.055685627	-0.928788292	1.960962999	-0.36664749	-0.854708164	-0.095670588	-0.433318166	1.82933649	-0.275793284	0.802776333	-1.334087823
X101	1.32420008	-0.600360003	-0.234366489	0.034292478	0.592824213	0.244767489	0.799305462	0.789217821	0.537543588	1.231605598	0.24141035	0.319754712	0.393500229	0.703814094	0.078278394	-1.180906254	0.88765859	-0.159989361	-0.022507382	0.818680937	-0.450117786	-2.250561341	-0.313850758	-0.219066508	-0.332861118	-1.374180121	-0.824579301	-0.232734437
X102	-0.70440017	-0.720895302	-0.523095528	-0.389913796	-0.243281028	-0.284179806	-0.131763598	-0.499500051	-0.609168587	-1.015883266	0.899637833	-0.890613897	-0.150033888	-0.334356849	-0.324594166	0.916248682	0.052945254	-0.332274252	2.007707572	-0.465654682	-0.59713193	-1.319882365	-0.572091276	0.658121632	-0.140052622	-0.540598861	-0.822425186	-0.519596568
X103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X104	-0.284660458	-0.447860515	-0.906098413	-0.839810349	-0.382859642	-1.12830127	0.13448107	-0.272217449	-1.037972106	0.180817712	0.725110801	0.734555902	-0.070682579	-0.732331954	0.554103349	0.238239334	0.402488785	0.436348055	0.350379845	-1.615364115	0.794057989	1.126100238	-0.548986074	0.28625988	-0.419956671	-0.420104913	-0.078880435	1.2284624
X105	-0.158241154	0.689068345	-0.268895239	-0.41651339	-1.134820404	0.220899582	0.410051417	-0.061668714	-0.505997278	-0.034525257	0.770704337	1.565091309	1.223204664	0.72436254	0.70400017	-0.05369195	0.643015769	0.598177719	0.911534224	2.47750415	-0.265270546	-0.565054687	0.817083468	0.620727089	0.334428162	-0.153123838	-0.403971945	-0.430102358
X106	1.051059988	0.064827474	-1.108145017	-1.226050179	1.076869345	-1.271610591	-0.230827974	-0.425652812	-1.015643979	0.026968809	1.549066671	0.553962966	0.129699906	-0.704462273	0.814841122	0.518361004	1.234148027	-1.135993166	1.231167566	0.844648404	0.353644023	1.179022868	-0.754227412	1.126778329	0.330023909	1.174733914	-0.812449928	0.821398439
X107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X108	0.237277543	1.591573873	-0.793126983	-0.835546413	0.589166333	-0.495583779	-0.462441642	-0.202374614	-0.80004718	0.218983384	1.293171227	0.576934005	-0.138589092	0.373768422	0.49272472	0.7231983	-0.04981156	0.37282545	0.935067115	-0.695541521	0.790291084	0.843818973	0.601800908	1.223023184	-0.466848101	1.146363566	-1.065132135	0.996363686
X109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X110	-1.434580083	-0.972120045	-0.689502455	-0.817557178	-0.924763129	-0.910669591	-1.575060655	-1.094520097	-0.650955535	-0.839936835	0.606989672	-0.142359746	-1.784435582	-0.939874978	-0.605291195	1.272085551	-0.970638769	-0.617686095	0.193398653	-1.728137303	-0.374937672	0.551428071	-0.976272095	1.109296208	-1.186932094	-0.826874687	-0.812091422	1.375663627
X111	1.12931981	-0.113866674	-0.394124747	-0.441953903	0.935812936	0.107331386	0.638981354	0.760370741	-0.39687785	0.644013661	0.164119286	0.201737118	1.292211437	-0.175064443	0.937406512	-0.200683593	0.738862391	0.04716791	0.167054187	-0.575199278	0.092325877	0.039835178	-0.590686964	-0.108935689	-0.244758147	-0.06515152	1.278077041	0.259650769
X112	0.62985781	0.173885132	1.426404895	2.536079498	0.083016914	2.306747186	1.459926784	1.484467821	1.720019462	1.538369447	-0.195704421	-0.597779201	1.281783733	1.741231802	0.648048642	-1.535731418	1.703392198	0.241309253	-0.583310928	-1.422133439	-0.382193153	-0.684485359	0.277793367	-0.68587405	-0.374695975	1.410712485	0.19107593	-1.030065691
X113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X114	-0.771202226	1.148337574	0.129360358	0.071346599	-1.069208046	2.253117441	2.379938598	2.268525853	1.359617932	0.810311177	-0.697713582	2.377366899	1.860899398	2.30106055	2.316828489	0.067889396	1.621333026	0.563082432	0.352860834	1.462101698	0.211249213	-0.186688126	0.808032534	-0.256008072	-1.346135593	-0.619674735	0.052100632	-0.421679419
X115	0.204833865	0.423601559	-0.535196297	-0.442109659	1.595758894	0.113847648	1.193301741	0.844656801	0.548411649	1.281353169	0.288364685	0.562910862	0.672553351	0.425988245	1.140507436	0.203170271	1.370338384	0.72598025	0.366202702	-0.333990971	1.417090137	0.18763917	1.15813194	0.189978199	1.256261428	-0.342398801	-1.492240411	0.191332909
X116	-1.002107979	2.392697182	-0.242691381	0.045521734	-0.69638628	-0.798457492	-0.488938064	-0.335604386	0.060395992	0.650666238	-1.173701165	-0.141582259	-1.250635901	-1.43087498	-0.460185292	0.006656659	-0.461640279	0.109346394	-1.74688572	0.101744345	2.083506667	2.049868412	0.050168685	-0.333874944	-0.077157884	-2.259639953	-0.534980934	0.71927431
X117	-0.866968321	-0.711359686	-1.159148917	-0.954161827	0.40377488	-1.083559692	-0.431375533	-0.872108719	-1.165981401	-1.054753386	1.677306053	-1.01593263	0.127730459	-0.635904471	0.295807594	1.713482096	-0.735192567	-0.663237519	1.181935159	-1.035222072	-1.067305612	-0.284850744	-1.00434671	1.35489406	-1.187256875	1.450121705	1.161415807	0.062608032
X118	-0.862837487	0.289136363	-1.879646539	-1.465913671	-0.583770525	-1.732807809	-0.879778927	-1.673309706	-1.874233849	-1.697035693	0.748062909	-0.853854895	-0.175536072	-1.997219482	-0.104558021	1.182447355	-0.815973394	-1.189564798	0.179845133	-0.537896477	0.064665652	0.250828968	-1.400026041	1.687358475	-0.021828902	0.439090744	-2.018404433	1.408964794
X120	-0.372689773	-0.159793123	-1.365831084	-1.725648321	-0.068598583	-1.475031081	-0.399216213	-1.447500237	-1.605898031	-1.338817604	2.121035243	-0.662256566	-1.295230378	-1.074567305	0.227703589	1.742545868	0.353505541	-1.411392035	1.762197755	-0.244270935	-0.289073791	0.951416903	-1.304526719	2.531170827	-0.312568015	-0.904308058	-0.906024606	0.734768468
X121	1.770505802	-0.47054728	1.657169051	1.338754509	1.531826578	1.450292367	0.454128354	0.863227779	0.820937628	0.899508415	-0.664140304	-0.693388852	1.03540387	1.61861806	0.003470032	-0.63253748	1.251115695	0.070012721	-0.534512535	-0.471093377	0.163553609	-0.562548428	0.459916853	-1.740281577	0.572096106	0.544868642	1.96879165	-1.130830201
X122	0.780920669	-0.734300137	0.532617823	0.967407104	-0.647039629	0.031841824	0.054823907	0.293551369	0.2493421	0.075940416	-1.178682161	-0.508789832	-0.403026758	-0.095960742	-0.112631665	-0.876807311	-0.829073497	0.416726556	-0.89951584	0.122921394	0.102642895	-0.1032859	0.308826373	-0.927752886	0.454196051	1.972669557	-0.831493408	-0.802026591
X123	-0.707317846	-1.778035036	0.662023706	0.91162727	-0.479310797	1.575063789	-1.629464629	-0.741757984	0.764489357	-0.971027766	-1.299242545	-0.003374739	0.677069166	0.269960195	-1.390524624	-0.189640669	-1.105368407	1.252675779	-1.181357278	0.685372275	-1.292694857	-1.723353447	0.994793948	-0.649385072	0.476392642	-0.730154666	-0.096902404	-1.351299829
X124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
